Execute,TestScenario,TestCase,Iteration,Status,Browser,BrowserVersion,Platform
true,Uber,Uber1,Single,Failed,Chrome,Default,Any
true,Uber,Uber2,Single,Failed,Chrome,Default,Any
true,Uber,Uber3,Single,Failed,Chrome,Default,Any
true,Uber,Uber4,Single,Failed,Chrome,Default,Any
true,Uber,Uber5,Single,Failed,Chrome,Default,Any
true,Uber,Uber6,Single,Failed,Chrome,Default,Any
true,Uber,Uber7,Single,Failed,Chrome,Default,Any
true,Uber,Uber8,Single,Failed,Chrome,Default,Any
true,Uber,Uber9,Single,Failed,Chrome,Default,Any
true,Uber,Uber Copy(10),Single,Failed,Chrome,Default,Any
