Step,ObjectName,Description,Action,Input,Condition,Reference
1,Browser,Open the Url [<Data>] in the Browser,Open,@https://www.revolut.com/,,
2,AcceptAll,"Wait for [<Object>] to be clickable ",waitForElementToBeClickable,,,Revolut
3,AcceptAll,Simulate a tap or click action on an element.,Click,,,Revolut
4,SignUpButton,Simulate a tap or click action on an element.,waitForElementToBeClickable,,,Revolut
5,SignUpButton,Simulate a tap or click action on an element.,Click,,,Revolut
6,CountryCodeDropDown,Simulate a tap or click action on an element.,Click,,,Revolut
7,CountrySearch,Simulate a tap or click action on an element.,Click,,,Revolut
8,CountrySearch,Enter the value [<Data>] in the Field [<Object>],Set,Revolut:CountryCode,,Revolut
9,SelectFirstCountry,"Wait for [<Object>] to be visible ",waitForElementToBeVisible,,,Revolut
10,Browser,Wait for [<Data>] milli seconds,pause,@1000,,
11,SelectFirstCountry,Simulate a tap or click action on an element.,Click,,,Revolut
12,EnterPhoneNumber,Simulate a tap or click action on an element.,Click,,,Revolut
13,EnterPhoneNumber,Enter the value [<Data>] in the Field [<Object>],Set,Revolut:PhoneNumber,,Revolut
14,SubmitButton,"Wait for [<Object>] to be clickable ",waitForElementToBeClickable,,,Revolut
15,SubmitButton,Simulate a tap or click action on an element.,Click,,,Revolut
16,SucessMessage,Assert if [<Object>]'s Text Contains [<Data>],assertElementTextContains,@Success!,,Revolut
*17,Browser,Wait for [<Data>] milli seconds,pause,@2,,
